experiment,n,time,repetitions,Gflops/s,GByte/s
vanilla, 50, 0.81942, 2, 2.05023, 16.4018
vanilla, 100, 0.740144, 1, 4.53966, 36.3173
vanilla, 150, 1.7731, 1, 4.26371, 34.1097
vanilla, 200, 3.25, 1, 4.13538, 33.0831
vanilla, 250, 5.17452, 1, 4.05835, 32.4668
vanilla, 300, 7.54989, 1, 4.00536, 32.0429
vanilla, 350, 10.3653, 1, 3.97093, 31.7675
vanilla, 400, 13.6382, 1, 3.94187, 31.535
vanilla, 500, 21.5299, 1, 3.90154, 31.2123
vanilla, 800, 56.2413, 1, 3.82353, 30.5882
vanilla, 1000, 88.2565, 1, 3.80709, 30.4567
vanilla, 1500, 200.828, 1, 3.76442, 30.1153
vanilla, 2000, 358.873, 1, 3.74506, 29.9605
vanilla, 2500, 564.019, 1, 3.72328, 29.7862
vanilla, 3000, 823.903, 1, 3.67034, 29.3627
omp parllel, 50, 0.281147, 2, 5.97552, 47.8042
omp parllel, 100, 0.864083, 2, 7.77703, 62.2162
omp parllel, 150, 0.470402, 1, 16.0714, 128.571
omp parllel, 200, 0.842282, 1, 15.9567, 127.653
omp parllel, 250, 1.34361, 1, 15.6295, 125.036
omp parllel, 300, 2.04988, 1, 14.7521, 118.017
omp parllel, 350, 3.47734, 1, 11.8366, 94.693
omp parllel, 400, 4.63676, 1, 11.5943, 92.7543
omp parllel, 500, 7.74953, 1, 10.8394, 86.7149
omp parllel, 800, 19.8594, 1, 10.8281, 86.6251
omp parllel, 1000, 29.2563, 1, 11.4847, 91.8775
omp parllel, 1500, 71.7258, 1, 10.5401, 84.3211
omp parllel, 2000, 127.579, 1, 10.5346, 84.2769
omp parllel, 2500, 205.283, 1, 10.2298, 81.8383
omp parllel, 3000, 300.444, 1, 10.0651, 80.5209
