experiment,n,time,iterations,repetitions,Gflops/s,GByte/s
Vanilla, 50, 1.16876, 100, 2, 0.752932, 6.02346
Vanilla, 100, 0.890987, 100, 1, 1.97534, 15.8027
Vanilla, 150, 2.08435, 100, 1, 1.89987, 15.199
Vanilla, 200, 3.78117, 100, 1, 1.86186, 14.8949
Vanilla, 250, 5.9857, 100, 1, 1.83771, 14.7017
Vanilla, 300, 8.69706, 100, 1, 1.82131, 14.5704
Vanilla, 350, 11.9267, 100, 1, 1.80771, 14.4617
Vanilla, 400, 15.6633, 100, 1, 1.79783, 14.3827
Vanilla, 500, 24.7002, 100, 1, 1.78136, 14.2509
Vanilla, 800, 64.2382, 100, 1, 1.75347, 14.0278
Vanilla, 1000, 101.116, 100, 1, 1.74058, 13.9246
Vanilla, 1500, 228.954, 100, 1, 1.7296, 13.8368
Vanilla, 2000, 410.267, 100, 1, 1.71596, 13.7276
Vanilla, 2500, 642.777, 100, 1, 1.71132, 13.6906
Vanilla, 3000, 931.085, 100, 1, 1.70124, 13.6099
omp parllel, 50, 0.254919, 100, 1, 1.72604, 13.8083
omp parllel, 100, 0.615649, 100, 1, 2.85877, 22.8702
omp parllel, 150, 1.00314, 100, 1, 3.94759, 31.5807
omp parllel, 200, 1.60361, 100, 1, 4.39009, 35.1208
omp parllel, 250, 2.11192, 100, 1, 5.20853, 41.6682
omp parllel, 300, 2.96918, 100, 1, 5.33481, 42.6785
omp parllel, 350, 3.63369, 100, 1, 5.93335, 47.4668
omp parllel, 400, 5.69154, 100, 1, 4.94769, 39.5815
omp parllel, 500, 8.49867, 100, 1, 5.17728, 41.4183
omp parllel, 800, 19.6095, 100, 1, 5.74417, 45.9533
omp parllel, 1000, 29.4201, 100, 1, 5.9823, 47.8584
omp parllel, 1500, 62.2628, 100, 1, 6.36013, 50.8811
omp parllel, 2000, 109.697, 100, 1, 6.41767, 51.3414
omp parllel, 2500, 181.257, 100, 1, 6.06872, 48.5498
omp parllel, 3000, 262.69, 100, 1, 6.02992, 48.2393
