experiment,n,time,iterations,repetitions,Gflops/s,GByte/s
Vanilla, 50, 0.638971, 100, 1, 2.62923, 21.0338
Vanilla, 100, 3.16642, 100, 1, 2.12227, 16.9781
Vanilla, 150, 7.69446, 100, 1, 1.96505, 15.7204
Vanilla, 200, 14.1819, 100, 1, 1.89538, 15.163
Vanilla, 250, 22.697, 100, 1, 1.85046, 14.8037
Vanilla, 300, 33.353, 100, 1, 1.81333, 14.5066
Vanilla, 350, 45.5068, 100, 1, 1.80896, 14.4717
Vanilla, 400, 59.8824, 100, 1, 1.79552, 14.3642
Vanilla, 500, 94.7429, 100, 1, 1.77322, 14.1858
Vanilla, 800, 246.441, 100, 1, 1.74516, 13.9613
Vanilla, 1000, 387.246, 100, 1, 1.73533, 13.8827
Vanilla, 1500, 879.602, 100, 1, 1.71896, 13.7517
Vanilla, 2000, 1580.82, 100, 1, 1.70038, 13.603
Vanilla, 2500, 2479.41, 100, 1, 1.69395, 13.5516
Vanilla, 3000, 3589.58, 100, 1, 1.68487, 13.479
omp parllel, 50, 0.613649, 100, 1, 2.73772, 21.9018
omp parllel, 100, 1.3464, 100, 1, 4.99111, 39.9288
omp parllel, 150, 2.26136, 100, 1, 6.68625, 53.49
omp parllel, 200, 4.34228, 100, 1, 6.1903, 49.5224
omp parllel, 250, 5.76242, 100, 1, 7.28861, 58.3088
omp parllel, 300, 8.92774, 100, 1, 6.77439, 54.1951
omp parllel, 350, 12.4993, 100, 1, 6.58594, 52.6876
omp parllel, 400, 15.9005, 100, 1, 6.76204, 54.0963
omp parllel, 500, 22.1558, 100, 1, 7.58268, 60.6614
omp parllel, 800, 55.4256, 100, 1, 7.75959, 62.0767
omp parllel, 1000, 84.2769, 100, 1, 7.97372, 63.7898
omp parllel, 1500, 212.422, 100, 1, 7.11791, 56.9433
omp parllel, 2000, 366.453, 100, 1, 7.33518, 58.6814
omp parllel, 2500, 559.159, 100, 1, 7.51127, 60.0902
omp parllel, 3000, 882.23, 100, 1, 6.85536, 54.8429
