experiment,n,time,iterations,repetitions,Gflops/s,GByte/s
Vanilla, 100, 6.74941, 50, 1, 3.02249, 24.1799
Vanilla, 150, 18.7823, 50, 1, 2.44379, 19.5503
Vanilla, 200, 37.3244, 50, 1, 2.18623, 17.4899
Vanilla, 250, 61.2143, 50, 1, 2.08285, 16.6628
Vanilla, 300, 91.4027, 50, 1, 2.00869, 16.0696
Vanilla, 350, 127.751, 50, 1, 1.95615, 15.6492
Vanilla, 400, 169.932, 50, 1, 1.92077, 15.3662
Vanilla, 500, 272.608, 50, 1, 1.87082, 14.9666
omp parllel, 100, 4.59258, 50, 1, 4.44195, 35.5356
omp parllel, 150, 9.5936, 50, 1, 4.78444, 38.2755
omp parllel, 200, 19.1152, 50, 1, 4.26886, 34.1509
omp parllel, 250, 26.6676, 50, 1, 4.78108, 38.2486
omp parllel, 300, 34.0007, 50, 1, 5.39989, 43.1992
omp parllel, 350, 42.2395, 50, 1, 5.91626, 47.3301
omp parllel, 400, 51.4315, 50, 1, 6.3463, 50.7704
omp parllel, 500, 104.887, 50, 1, 4.86236, 38.8989
