experiment,n,time,iterations,repetitions,Gflops/s,GByte/s
Vanilla, 100, 11.0653, 50, 1, 4.6849, 37.4792
Vanilla, 150, 37.1373, 50, 1, 3.14077, 25.1262
Vanilla, 200, 78.5184, 50, 1, 2.64091, 21.1273
Vanilla, 250, 135.427, 50, 1, 2.39243, 19.1394
Vanilla, 300, 207.605, 50, 1, 2.24735, 17.9788
Vanilla, 350, 294.806, 50, 1, 2.1541, 17.2328
Vanilla, 400, 397.916, 50, 1, 2.08446, 16.6757
Vanilla, 500, 651.732, 50, 1, 1.98855, 15.9084
omp parllel, 100, 10.0255, 50, 1, 5.1708, 41.3664
omp parllel, 150, 28.9192, 50, 1, 4.0333, 32.2664
omp parllel, 200, 51.071, 50, 1, 4.06023, 32.4819
omp parllel, 250, 81.9748, 50, 1, 3.95244, 31.6195
omp parllel, 300, 99.5653, 50, 1, 4.68597, 37.4878
omp parllel, 350, 114.575, 50, 1, 5.54259, 44.3407
omp parllel, 400, 156.94, 50, 1, 5.28508, 42.2807
omp parllel, 500, 223.704, 50, 1, 5.79337, 46.347
